Item,Qty,Reference(s),Value,LibPart,Footprint,MPN,Manufacturer,Farnell Number
1,5,"1uC1, 1uC2, 1uC3, 1uC4, 1uC5, ",C_1u_0603,antmicroCapacitors0603:C_1u_0603,antmicro-footprints:0603-cap,0603X105K160CT,WALSIN,1327680
2,16,"100nC9, 100nC10, 100nC11, 100nC12, 100nC13, 100nC14, 100nC15, 100nC16, 100nC17, 100nC18, 100nC19, 100nC20, 100nC21, 100nC22, 100nC23, 100nC24, ",C_100n_0402_6V3,antmicroCapacitors0402:C_100n_0402_6V3,antmicro-footprints:0402-cap,0402X104K6R3CT,Walsin,2496812
3,2,"4u7C25, 4u7C26, ",C_4u7_0402,antmicroCapacitors0402:C_4u7_0402,antmicro-footprints:0402-cap,GRM155R60G475ME,MURATA,1735525 
4,3,"D1, D3, D4, ",MBR0540T1G,antmicroDiodesRectifiersSingle:MBR0540T1G,antmicro-footprints:SOD-123,MBR0540T1G,ON Semiconductor,9556923RL
5,2,"D2, D5, ",TPD2EUSB30DRTR,antmicroTVSDiodes:TPD2EUSB30DRTR,antmicro-footprints:SOT-3,TPD2EUSB30DRTR,Texas Instruments,TPD2EUSB30DRTR
6,8,"D6, D7, D8, D9, D10, D11, D12, D13, ",LG_L29K-G2J1-24-Z,antmicroLEDIndicationDiscrete:LG_L29K-G2J1-24-Z,antmicro-footprints:LED_0603,LG L29K-G2J1-24-Z,OSRAM Opto Semiconductors Inc.,
7,2,"FB1, FB2, ",BLM18AG601SN1D,antmicroFerriteBeadsandChips:BLM18AG601SN1D,antmicro-footprints:0603-res,BLM18AG601SN1D,Murata Electronics North America,1515679
8,2,"J1, J3, ",20021121-00010C4LF,antmicroRectangularConnectorsHeadersMalePins:20021121-00010C4LF,antmicro-footprints:PinHeader_2x5_P1.27mm,20021121-00010C4LF,Amphenol ICC (FCI),
9,1,"J2, ",DF13A-2P-1.25H,antmicroDF13Connectors:DF13A-2P-1.25H,antmicro-footprints:DF13A-2P-1.25H,DF13A-2P-1.25H,Hirose,
10,1,"J4, ",2x20_Header_Female,antmicroRectangularConnectorsHeadersFemalePins:2x20_Header_Female,antmicro-footprints:PinHeader_2x40_P2.54_Drill1mm,2214S-40SG-85 ,MULTICOMP,
11,2,"J5, J10, ",473460001,antmicroUSBDVIHDMIConnectors:0473460001,antmicro-footprints:USB_Micro_B_Female_0473460001,473460001,Molex,
12,2,"J6, J7, ",556500488,antmicroB2bConnectors:556500488,antmicro-footprints:556500488,,,
13,1,"J8, ",WE_686115148922,antmicroFCCConnectors:WE_686115148922,antmicro-footprints:WE_686115148922,686115148922,Wurth Elektronik ,
14,1,"J9, ",WE_686115148922_FLIPPED,antmicroFCCConnectors:WE_686115148922_FLIPPED,antmicro-footprints:WE_686115148922_FLIPPED,686115148922,Wurth Elektronik ,
15,3,"JP1, JP2, JP3, ",Jumper_3_Open,Jumper:Jumper_3_Open,Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,,,
16,1,"N1, ",antmicro_logo,antmicroMechanicalParts:antmicro_logo,antmicro-footprints:antmicro-logo_scaled_20mm,,,
17,1,"0RR1, ",R_0R_0603,antmicroResistors0603:R_0R_0603,antmicro-footprints:0603-res,CR0603-J/-000ELF,BOURNS,2008343
18,42,"0RR2, 0RR3, 0RR8, 0RR11, 0RR12, 0RR13, 0RR14, 0RR15, 0RR16, 0RR17, 0RR18, 0RR19, 0RR20, 0RR21, 0RR22, 0RR23, 0RR24, 0RR25, 0RR26, 0RR27, 0RR28, 0RR29, 0RR30, 0RR31, 0RR32, 0RR33, 0RR42, 0RR43, 0RR44, 0RR45, 0RR46, 0RR47, 0RR48, 0RR49, 0RR50, 0RR51, 0RR52, 0RR53, 0RR54, 0RR55, 0RR56, 0RR57, ",R_0R_0402,antmicroResistors0402:R_0R_0402,antmicro-footprints:0402-res,ERJ2GE0R00X,PANASONIC,2059190
19,3,"10kR4, 10kR6, 10kR7, ",R_10k_0402,antmicroResistors0402:R_10k_0402,antmicro-footprints:0402-res,CRCW040210K0FKEDHP,VISHAY,1738864
20,2,"2kR5, 2kR10, ",R_2k_0402,antmicroResistors0402:R_2k_0402,antmicro-footprints:0402-res,CRCW04022K00FKED,VISHAY,1469688
21,1,"12kR9, ",R_12k_0402,antmicroResistors0402:R_12k_0402,antmicro-footprints:0402-res,CRCW040212K0FKEDHP,VISHAY,1738865
22,1,"470RR34, ",R_470R_0402,antmicroResistors0402:R_470R_0402,antmicro-footprints:0402-res,CRCW0402470RFKED.,VISHAY,2140742
23,7,"330RR35, 330RR36, 330RR37, 330RR38, 330RR39, 330RR40, 330RR41, ",R_330R_0402,antmicroResistors0402:R_330R_0402,antmicro-footprints:0402-res,MCMR04X3300FTL,MULTICOMP,2072927
24,1,"S1, ",EVQPUA02K,antmicroTactileSwitches:EVQPUA02K,antmicro-footprints:Panasonic_EVQPUJ_EVQPUA,EVQPUA02K,Panasonic,2860922
25,1,"U1, ",MCP1700T-3302E_TT,antmicroPMICVoltageRegulatorsLinear:MCP1700T-3302E_TT,antmicro-footprints:SOT-23-3,MCP1700T-3302E/TT,Microchip Technology,1296592
26,5,"U2, U3, U4, U7, U8, ",NTB0104BQ,antmicroLogicTranslatorsLevelShifters:NTB0104BQ,antmicro-footprints:QDHVQFN14,NTB0104BQ,NXP Semiconductors,"2444921 
 

2444921 "
27,1,"U5, ",93LC56CT-IMC,antmicroMemory:93LC56CT-IMC,antmicro-footprints:DFN-8_2x3mm,,,
28,1,"U6, ",FT4232HQ,antmicroInterfaceControllers:FT4232HQ,antmicro-footprints:FT4232HQ,FT4232HQ,FTDI,1697464
29,1,"Y1, ",ASFLMB-12.000MHZ-LC-T,antmicroOscillators:ASFLMB-12.000MHZ-LC-T,antmicro-footprints:ASFLMB,7C-24.000MBB-T,TXC,1842027
